2018_airportRank,Airports ,IATACode,Major city served,State,2018,2017,2016,2015,2014
1,Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,GA,51866464,50251964,50501858,49340732,46604273
2,Los Angeles International Airport,LAX,Los Angeles,CA,42626783,41232432,39636042,36351226,34314197
3,O'Hare International Airport,ORD,Chicago,IL,39874879,38593028,37589899,36305668,33686811
4,Dallas/Fort Worth International Airport,DFW,Dallas/Fort Worth,TX,32800721,31816933,31283579,31589832,30766940
5,Denver International Airport,DEN,Denver,CO,31363573,29809097,28267394,26280043,26000591
6,John F. Kennedy International Airport,JFK,New York,NY,30541459,29533154,29239151,27782369,26244928
7,San Francisco International Airport,SFO,San Francisco,CA,27794154,26900048,25707101,24190549,22756008
8,Seattle–Tacoma International Airport,SEA,Seattle/Tacoma,WA,24894338,22639124,21887110,21231781,18781489
9,McCarran International Airport,LAS,Las Vegas,NV,23655285,23364393,22833267,21824231,20551016
10,Orlando International Airport,MCO,Orlando,FL,23184634,21565448,20283541,18759938,17278608
11,Newark Liberty International Airport,EWR,New York/Newark,NJ,22798354,21571198,19923009,18684818,17680826
12,Charlotte Douglas International Airport,CLT,Charlotte,NC,22283574,22011251,21511880,21913166,21542277
13,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ,21623842,21185458,20896265,21351445,20344867
14,George Bush Intercontinental Airport,IAH,Houston,TX,21157948,19603731,20062072,20595874,19772054
15,Miami International Airport,MIA,Miami,FL,21025210,20709225,20875813,20986341,19468523
16,Logan International Airport,BOS,Boston,MA,20010262,18759742,17749202,16290362,15425869
17,Minneapolis–Saint Paul International Airport,MSP,Minneapolis/St. Paul,MN,18363493,18409704,18123844,17634252,16972678
18,Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale,FL,17613957,15817043,14263270,13061607,11987607
19,Detroit Metropolitan Airport,DTW,Detroit,MI,17437716,17036092,16826287,16255520,15775941
20,Philadelphia International Airport,PHL,Philadelphia,PA,15285948,14271243,14564419,15101318,14747112
21,LaGuardia Airport,LGA,New York,NY,15059648,14614802,14706123,14762593,13415797
22,Baltimore–Washington International Airport,BWI,"Baltimore/Washington, D.C.",MD,13373773,12976554,12340972,11738828,11022200
23,Salt Lake City International Airport,SLC,Salt Lake City,UT,12228677,11615954,11143738,10634519,10139065
24,San Diego International Airport,SAN,San Diego,CA,12176303,11139933,10340164,9985739,9333152
25,Washington Dulles International Airport,IAD,"Washington, D.C.",VA,11628309,11024306,10596942,10363918,10415948
