2018_airportRank,Airports,IATACode,City,State,2018,2017,2016,2015,2014,website,img_link
1,Hartsfield Jackson Atlanta International Airport,ATL,Atlanta,GA,51866464,50251964,50501858,49340732,46604273,https://www.atl.com/,https://www.atl.com/wp-content/uploads/2016/01/logo-e1467736800425.png
2,Los Angeles International Airport,LAX,Los Angeles,CA,42626783,41232432,39636042,36351226,34314197,https://www.flylax.com/,https://airportxnews.com/wp-content/uploads/2016/11/lawa-logo.png
3,O'Hare International Airport,ORD,Chicago,IL,39874879,38593028,37589899,36305668,33686811,https://www.flychicago.com/ohare/pages/default.aspx,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/O%27Hare_International_Airport_Logo.svg/320px-O%27Hare_International_Airport_Logo.svg.png?1570155707567
4,Dallas/Fort Worth International Airport,DFW,Dallas/Fort Worth,TX,32800721,31816933,31283579,31589832,30766940,https://www.dfwairport.com/,https://www.eturbonews.com/wp-content/uploads/2017/03/0a1_2961.jpg
5,Denver International Airport,DEN,Denver,CO,31363573,29809097,28267394,26280043,26000591,https://www.flydenver.com/,https://www.flydenver.com/sites/all/themes/dia/logo-desktop.svg
6,John F. Kennedy International Airport,JFK,New York,NY,30541459,29533154,29239151,27782369,26244928,https://www.jfkairport.com/,https://www.jfkairport.com/static/img/JFK-Airport%20logo.png
7,San Francisco International Airport,SFO,San Francisco,CA,27794154,26900048,25707101,24190549,22756008,https://www.flysfo.com/,https://fishermanswharf.org/wp-content/uploads/2018/05/IMG_0845.jpg
8,Seattle Tacoma International Airport,SEA,Seattle/Tacoma,WA,24894338,22639124,21887110,21231781,18781489,https://www.portseattle.org/sea-tac,https://www.portseattle.org/sites/default/files/logo-port_0.png
9,McCarran International Airport,LAS,Las Vegas,NV,23655285,23364393,22833267,21824231,20551016,https://www.mccarran.com/,https://i0.wp.com/vegaschanges.com/wp-content/uploads/2019/06/LAS-airport-4.jpg?fit=810%2C455&ssl=1
10,Orlando International Airport,MCO,Orlando,FL,23184634,21565448,20283541,18759938,17278608,https://orlandoairports.net/,https://orlandoairports.net/site/themes/orlandoairports/assets/img/logos/mco_logo_stacked.svg
11,Newark Liberty International Airport,EWR,New York/Newark,NJ,22798354,21571198,19923009,18684818,17680826,https://www.newarkairport.com/,https://www.newarkairport.com/static/img/EWR-Airport%20logo.png
12,Charlotte Douglas International Airport,CLT,Charlotte,NC,22283574,22011251,21511880,21913166,21542277,https://www.cltairport.com/,https://pbs.twimg.com/profile_images/1156289135805652993/YlLc0s6H_400x400.jpg
13,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ,21623842,21185458,20896265,21351445,20344867,https://www.skyharbor.com/,https://www.skyharbor.com/images/default-source/siteimages/logos/phxhwht-min.png
14,George Bush Intercontinental Airport,IAH,Houston,TX,21157948,19603731,20062072,20595874,19772054,https://www.fly2houston.com/iah/overview/,https://www.gmipost.com/img/uploads/Texas%202018/JT-TEXAS-2018-HOUSTON-AIRPORT-Logo.jpg
15,Miami International Airport,MIA,Miami,FL,21025210,20709225,20875813,20986341,19468523,http://www.miami-airport.com/,http://www.miami-airport.com/images/miami-international-logo.png
16,Logan International Airport,BOS,Boston,MA,20010262,18759742,17749202,16290362,15425869,http://www.massport.com/logan-airport/,https://upload.wikimedia.org/wikipedia/commons/1/1e/Boston_Logan_International_Airport_Logo.jpg
17,Minneapolis Saint Paul International Airport,MSP,Minneapolis/St. Paul,MN,18363493,18409704,18123844,17634252,16972678,https://www.mspairport.com/,https://www.rochestertominneapolis.com/images/fleets/msp-airport-logo.jpg
18,Fort LauderdaleHollywood International Airport,FLL,Fort Lauderdale,FL,17613957,15817043,14263270,13061607,11987607,https://www.broward.org/Airport/Pages/default.aspx,https://www.broward.org/Style%20Library/BCImages/Airport/Aviation-Logo.png
19,Detroit Metropolitan Airport,DTW,Detroit,MI,17437716,17036092,16826287,16255520,15775941,https://www.metroairport.com/,https://prnewswire2-a.akamaihd.net/p/1893751/sp/189375100/thumbnail/entry_id/0_2lixop3t/def_height/2700/def_width/2700/version/100012/type/1
20,Philadelphia International Airport,PHL,Philadelphia,PA,15285948,14271243,14564419,15101318,14747112,https://www.phl.org/,http://ghidesign.com/wp-content/uploads/2011/06/15.gif
21,LaGuardia Airport,LGA,New York,NY,15059648,14614802,14706123,14762593,13415797,https://laguardiaairport.com/,https://laguardiaairport.com/static/img/LGA-Airport%20logo.png
22,Baltimore Washington International Airport,BWI,"Baltimore/Washington, D.C.",MD,13373773,12976554,12340972,11738828,11022200,https://www.bwiairport.com/,https://i.pinimg.com/originals/dc/54/2e/dc542e9182e41413cf45b71981560897.png
23,Salt Lake City International Airport,SLC,Salt Lake City,UT,12228677,11615954,11143738,10634519,10139065,https://www.slcairport.com/,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/KSLC_logo.svg/1200px-KSLC_logo.svg.png
24,San Diego International Airport,SAN,San Diego,CA,12176303,11139933,10340164,9985739,9333152,https://www.san.org/,https://www.san.org/Portals/0/san-diego-airport-logo.png
25,Washington Dulles International Airport,IAD,"Washington, D.C.",VA,11628309,11024306,10596942,10363918,10415948,https://www.flydulles.com/iad/dulles-international-airport,https://patch.com/img/cdn20/users/96076/20161115/014730/styles/raw/public/article_images/dulles-1479235461-3380.jpg
26,Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",VA,11367176,11506310,11470854,11242375,10057794,https://www.flyreagan.com/dca/reagan-national-airport,https://pbs.twimg.com/media/CfOvXgGWEAEBEV1.jpg
